,0,1,2
198,1,0,0
199,0,1,0
200,0,0,1
201,0,0,1
202,0,1,0
203,0,0,1
204,1,0,0
205,1,0,0
206,1,0,0
207,1,0,0
208,1,0,0
209,0,1,0
210,1,0,0
211,0,1,0
212,0,0,1
213,1,0,0
214,0,1,0
215,1,0,0
216,0,0,1
217,0,1,0
218,1,0,0
219,1,0,0
220,0,0,1
221,0,0,1
222,0,0,1
223,1,0,0
224,0,1,0
225,1,0,0
226,1,0,0
227,0,0,1
228,0,0,1
229,0,1,0
230,0,0,1
231,0,0,1
232,0,1,0
233,0,1,0
234,1,0,0
235,0,1,0
236,0,1,0
237,0,1,0
238,0,0,1
239,0,1,0
240,1,0,0
241,1,0,0
242,0,1,0
243,0,0,1
244,0,1,0
245,1,0,0
246,0,1,0
247,0,0,1
248,1,0,0
249,0,1,0
250,1,0,0
251,0,0,1
252,1,0,0
253,1,0,0
254,0,0,1
255,1,0,0
256,0,1,0
257,0,1,0
258,0,0,1
259,1,0,0
260,0,1,0
261,0,1,0
262,0,1,0
263,0,1,0
264,1,0,0
265,0,1,0
266,0,1,0
267,0,1,0
268,0,0,1
269,0,1,0
270,1,0,0
271,0,1,0
272,1,0,0
273,1,0,0
274,0,1,0
275,0,1,0
276,0,1,0
277,0,1,0
278,1,0,0
279,0,1,0
280,0,1,0
281,1,0,0
282,0,1,0
283,0,0,1
284,1,0,0
285,0,0,1
286,0,1,0
287,0,1,0
288,0,1,0
289,1,0,0
290,1,0,0
291,0,1,0
292,0,1,0
293,1,0,0
294,1,0,0
295,0,0,1
296,1,0,0
297,0,1,0
298,1,0,0
299,1,0,0
300,0,1,0
301,0,0,1
302,0,1,0
303,0,0,1
304,0,1,0
305,0,0,1
306,0,1,0
307,0,0,1
308,1,0,0
309,0,1,0
310,1,0,0
311,0,1,0
312,0,1,0
313,0,0,1
314,1,0,0
315,0,1,0
316,1,0,0
317,1,0,0
318,1,0,0
319,1,0,0
320,0,1,0
321,1,0,0
322,1,0,0
323,0,0,1
324,0,1,0
325,1,0,0
326,0,1,0
327,0,1,0
328,1,0,0
329,0,1,0
330,1,0,0
331,0,1,0
332,0,1,0
333,0,1,0
334,0,1,0
335,0,1,0
336,0,1,0
337,0,0,1
338,1,0,0
339,0,0,1
340,0,1,0
341,1,0,0
342,1,0,0
343,1,0,0
344,1,0,0
345,0,1,0
346,0,0,1
347,0,1,0
348,0,1,0
349,0,0,1
350,0,0,1
351,0,0,1
352,1,0,0
353,0,0,1
354,0,0,1
355,0,1,0
356,0,1,0
357,1,0,0
358,0,1,0
359,0,0,1
360,0,1,0
361,1,0,0
362,1,0,0
363,0,1,0
364,0,1,0
365,1,0,0
366,0,1,0
367,0,1,0
368,0,0,1
369,1,0,0
370,0,0,1
371,0,1,0
372,1,0,0
373,1,0,0
374,1,0,0
375,0,1,0
376,0,1,0
377,0,0,1
378,0,0,1
379,0,1,0
380,0,0,1
381,1,0,0
382,0,0,1
383,0,0,1
384,0,1,0
385,0,0,1
386,1,0,0
387,1,0,0
388,1,0,0
389,1,0,0
390,1,0,0
391,0,1,0
392,0,1,0
393,1,0,0
394,0,0,1
395,0,1,0
396,0,1,0
397,0,1,0
398,1,0,0
399,1,0,0
400,0,1,0
401,0,1,0
402,0,1,0
403,0,1,0
404,1,0,0
405,0,1,0
406,0,1,0
407,1,0,0
408,0,0,1
409,0,0,1
410,0,0,1
411,1,0,0
412,1,0,0
413,1,0,0
414,1,0,0
415,0,1,0
416,0,0,1
417,1,0,0
418,0,0,1
419,0,0,1
420,0,1,0
421,1,0,0
422,0,1,0
423,0,0,1
424,0,1,0
425,0,1,0
426,1,0,0
427,0,1,0
428,1,0,0
429,0,1,0
430,0,1,0
431,0,1,0
432,1,0,0
433,0,1,0
434,1,0,0
435,1,0,0
436,1,0,0
437,0,1,0
438,0,1,0
439,0,1,0
440,0,0,1
441,1,0,0
442,1,0,0
443,0,1,0
444,0,0,1
445,0,0,1
446,0,0,1
447,1,0,0
448,0,1,0
449,0,1,0
450,0,1,0
451,1,0,0
452,0,0,1
453,0,1,0
454,0,1,0
455,1,0,0
456,0,1,0
457,0,1,0
458,0,1,0
459,0,0,1
460,1,0,0
461,0,1,0
462,0,0,1
463,0,1,0
464,0,0,1
465,0,1,0
466,1,0,0
467,0,1,0
468,1,0,0
469,0,0,1
470,0,0,1
471,1,0,0
472,1,0,0
473,1,0,0
474,0,0,1
475,0,0,1
476,0,0,1
477,1,0,0
478,0,1,0
479,0,0,1
480,0,0,1
481,0,1,0
482,0,0,1
483,0,1,0
484,0,0,1
485,0,1,0
486,0,1,0
487,0,1,0
488,0,1,0
489,0,1,0
490,0,0,1
491,1,0,0
492,0,0,1
493,1,0,0
494,0,1,0
495,1,0,0
496,0,0,1
497,0,1,0
498,1,0,0
499,1,0,0
500,0,1,0
501,0,0,1
502,0,1,0
503,1,0,0
504,0,0,1
505,0,0,1
506,1,0,0
507,0,0,1
508,1,0,0
509,0,0,1
510,0,0,1
511,0,1,0
512,0,0,1
513,0,1,0
514,1,0,0
515,0,0,1
516,0,0,1
517,0,0,1
518,0,1,0
519,1,0,0
520,1,0,0
521,0,1,0
522,0,0,1
523,1,0,0
524,0,1,0
525,1,0,0
526,1,0,0
527,0,1,0
528,1,0,0
529,1,0,0
530,0,1,0
531,0,0,1
532,1,0,0
533,1,0,0
534,0,1,0
535,0,0,1
536,0,1,0
537,1,0,0
538,0,0,1
539,0,1,0
540,0,1,0
541,0,0,1
542,0,0,1
543,1,0,0
544,1,0,0
545,0,1,0
546,0,0,1
547,0,1,0
548,0,0,1
549,0,0,1
550,0,0,1
551,1,0,0
552,1,0,0
553,0,1,0
554,0,0,1
555,0,1,0
556,0,1,0
557,0,0,1
558,0,1,0
559,0,0,1
560,1,0,0
561,0,1,0
562,0,1,0
563,0,1,0
564,1,0,0
565,0,1,0
566,0,1,0
567,0,0,1
568,0,1,0
569,1,0,0
570,0,1,0
571,0,1,0
572,1,0,0
573,0,0,1
574,0,1,0
575,0,1,0
576,0,0,1
577,0,1,0
578,0,1,0
579,1,0,0
580,0,1,0
581,0,1,0
582,1,0,0
583,1,0,0
584,1,0,0
585,0,0,1
586,1,0,0
587,0,0,1
588,0,1,0
589,0,1,0
590,1,0,0
591,0,1,0
592,0,1,0
593,0,1,0
594,0,1,0
595,0,0,1
596,1,0,0
597,1,0,0
598,1,0,0
599,1,0,0
600,0,0,1
601,1,0,0
602,0,1,0
603,1,0,0
604,0,1,0
605,0,0,1
606,1,0,0
607,1,0,0
608,0,1,0
609,0,0,1
610,0,0,1
611,0,0,1
612,0,1,0
613,0,1,0
614,0,1,0
615,0,1,0
616,0,1,0
617,0,0,1
618,0,0,1
619,0,1,0
620,0,1,0
621,0,0,1
622,0,1,0
623,0,1,0
624,0,1,0
625,1,0,0
626,0,0,1
627,0,1,0
628,0,1,0
629,0,1,0
630,1,0,0
631,1,0,0
632,0,0,1
633,0,0,1
634,1,0,0
635,1,0,0
636,0,0,1
637,0,1,0
638,1,0,0
639,0,1,0
640,1,0,0
641,0,1,0
642,0,0,1
643,0,0,1
644,0,1,0
645,0,1,0
646,0,1,0
647,0,0,1
648,0,1,0
649,0,1,0
650,0,1,0
651,1,0,0
652,0,0,1
653,1,0,0
654,1,0,0
655,1,0,0
656,0,0,1
657,1,0,0
658,0,1,0
659,0,0,1
660,0,1,0
661,0,0,1
662,1,0,0
663,1,0,0
664,1,0,0
665,0,1,0
666,0,1,0
667,1,0,0
668,0,1,0
669,0,0,1
670,0,1,0
671,1,0,0
672,1,0,0
673,0,0,1
674,0,0,1
675,1,0,0
676,0,0,1
677,0,1,0
678,1,0,0
679,0,1,0
680,0,0,1
681,1,0,0
682,0,1,0
683,1,0,0
684,0,1,0
685,0,1,0
686,0,1,0
687,0,1,0
688,0,0,1
689,0,1,0
690,0,0,1
691,1,0,0
692,1,0,0
693,0,0,1
694,1,0,0
695,1,0,0
696,1,0,0
697,1,0,0
698,0,1,0
699,1,0,0
700,0,1,0
701,1,0,0
702,0,0,1
703,0,1,0
704,0,0,1
705,1,0,0
706,0,1,0
707,0,0,1
708,0,1,0
709,0,1,0
710,1,0,0
711,0,1,0
712,0,0,1
713,0,1,0
714,0,1,0
715,1,0,0
716,0,1,0
717,0,1,0
718,0,0,1
719,1,0,0
720,0,1,0
721,0,1,0
722,1,0,0
723,0,0,1
724,1,0,0
725,1,0,0
726,0,1,0
727,0,1,0
728,0,1,0
729,0,0,1
730,0,0,1
731,0,0,1
732,1,0,0
733,0,1,0
734,0,0,1
735,1,0,0
736,0,1,0
737,0,0,1
738,0,0,1
739,0,0,1
740,0,0,1
741,0,0,1
742,0,0,1
743,0,1,0
744,1,0,0
745,1,0,0
746,0,1,0
747,0,1,0
748,1,0,0
749,0,0,1
750,1,0,0
751,0,1,0
752,0,0,1
753,0,1,0
754,1,0,0
755,0,1,0
756,1,0,0
757,0,1,0
758,1,0,0
759,1,0,0
760,1,0,0
761,0,1,0
762,0,0,1
763,0,1,0
764,0,1,0
765,0,1,0
766,0,0,1
767,0,0,1
768,0,1,0
769,0,1,0
770,1,0,0
771,1,0,0
772,0,1,0
773,0,1,0
774,1,0,0
775,1,0,0
776,0,1,0
777,0,1,0
778,0,0,1
779,1,0,0
780,1,0,0
781,0,1,0
782,0,1,0
783,0,0,1
784,0,0,1
785,0,1,0
786,0,0,1
787,0,1,0
788,0,0,1
789,0,0,1
790,0,0,1
791,1,0,0
792,0,0,1
793,0,1,0
794,0,0,1
795,0,1,0
796,0,1,0
797,0,1,0
798,1,0,0
799,0,1,0
800,0,1,0
801,1,0,0
802,0,0,1
803,0,0,1
804,1,0,0
805,1,0,0
806,1,0,0
807,0,1,0
808,1,0,0
809,0,0,1
810,0,0,1
811,0,0,1
812,0,1,0
813,0,1,0
814,0,1,0
815,1,0,0
816,1,0,0
817,1,0,0
818,0,1,0
819,1,0,0
820,0,0,1
821,0,1,0
822,1,0,0
823,0,0,1
824,1,0,0
825,1,0,0
826,1,0,0
827,0,1,0
828,1,0,0
829,1,0,0
830,1,0,0
831,1,0,0
832,0,0,1
833,0,1,0
834,0,0,1
835,0,1,0
836,1,0,0
837,0,1,0
838,1,0,0
839,1,0,0
840,0,1,0
841,1,0,0
842,0,0,1
843,0,1,0
844,0,0,1
845,0,0,1
846,1,0,0
847,0,0,1
848,0,1,0
849,1,0,0
850,0,0,1
851,1,0,0
852,0,0,1
853,0,0,1
854,0,1,0
855,1,0,0
856,0,0,1
857,1,0,0
858,0,0,1
859,0,1,0
860,0,1,0
861,1,0,0
862,1,0,0
863,0,0,1
864,1,0,0
865,0,1,0
866,0,1,0
867,1,0,0
868,0,1,0
869,0,1,0
870,0,1,0
871,1,0,0
872,0,1,0
873,0,1,0
874,0,1,0
875,0,1,0
876,0,1,0
877,1,0,0
878,0,1,0
879,0,0,1
880,0,1,0
881,1,0,0
882,0,0,1
883,0,1,0
884,0,1,0
885,0,1,0
886,1,0,0
887,0,0,1
888,0,1,0
889,1,0,0
890,0,1,0
891,1,0,0
892,0,0,1
893,0,1,0
894,0,1,0
895,0,0,1
896,0,0,1
897,0,0,1
898,1,0,0
899,0,0,1
900,0,0,1
901,0,1,0
902,0,0,1
903,1,0,0
904,1,0,0
905,0,0,1
906,1,0,0
907,1,0,0
908,0,0,1
909,0,0,1
910,0,0,1
911,0,1,0
912,1,0,0
913,0,1,0
914,1,0,0
915,0,1,0
916,0,0,1
917,0,1,0
918,0,0,1
919,1,0,0
920,1,0,0
921,0,1,0
922,0,0,1
923,0,0,1
924,0,1,0
925,1,0,0
926,0,1,0
927,0,1,0
928,0,0,1
929,0,1,0
930,0,1,0
931,1,0,0
932,1,0,0
933,0,0,1
934,0,0,1
935,1,0,0
936,1,0,0
937,0,1,0
938,0,0,1
939,0,1,0
940,1,0,0
941,0,0,1
942,0,0,1
943,0,1,0
944,0,1,0
945,0,0,1
946,0,0,1
947,0,1,0
948,0,0,1
949,0,0,1
950,0,1,0
951,1,0,0
952,1,0,0
953,1,0,0
954,1,0,0
955,1,0,0
956,1,0,0
957,0,1,0
958,0,1,0
959,1,0,0
960,0,0,1
961,1,0,0
962,0,0,1
963,0,1,0
964,0,1,0
965,0,1,0
966,1,0,0
967,0,1,0
968,0,1,0
969,0,0,1
970,0,1,0
971,0,1,0
972,0,1,0
973,1,0,0
974,0,0,1
975,0,1,0
976,1,0,0
977,1,0,0
978,0,0,1
979,0,1,0
980,1,0,0
981,1,0,0
982,1,0,0
983,0,1,0
984,0,0,1
985,0,0,1
986,0,1,0
987,0,0,1
988,0,0,1
989,1,0,0
990,0,1,0
991,0,1,0
992,1,0,0
993,0,0,1
994,1,0,0
995,0,0,1
996,1,0,0
997,1,0,0
998,1,0,0
999,1,0,0
1000,0,0,1
1001,0,1,0
1002,0,0,1
1003,0,1,0
1004,0,1,0
1005,0,0,1
1006,0,1,0
1007,0,1,0
1008,0,1,0
1009,0,0,1
1010,1,0,0
1011,1,0,0
1012,1,0,0
1013,0,0,1
1014,0,1,0
1015,0,0,1
1016,0,1,0
1017,0,0,1
1018,1,0,0
1019,0,1,0
1020,1,0,0
1021,1,0,0
1022,1,0,0
1023,0,0,1
1024,0,1,0
1025,1,0,0
1026,0,1,0
1027,1,0,0
1028,0,0,1
1029,1,0,0
1030,0,0,1
1031,0,1,0
1032,0,1,0
1033,0,1,0
1034,0,0,1
1035,0,1,0
1036,0,0,1
1037,1,0,0
1038,1,0,0
1039,0,0,1
1040,0,0,1
1041,1,0,0
1042,0,1,0
1043,0,1,0
1044,0,0,1
1045,1,0,0
1046,0,1,0
1047,1,0,0
1048,0,1,0
1049,0,0,1
1050,0,0,1
1051,0,0,1
1052,0,0,1
1053,0,1,0
1054,0,0,1
1055,1,0,0
1056,0,1,0
1057,0,1,0
1058,1,0,0
1059,1,0,0
1060,1,0,0
1061,1,0,0
1062,0,1,0
1063,0,1,0
1064,1,0,0
1065,1,0,0
1066,0,0,1
1067,0,1,0
1068,1,0,0
1069,0,0,1
1070,0,1,0
1071,0,1,0
1072,0,1,0
1073,0,1,0
1074,0,0,1
1075,0,0,1
1076,1,0,0
1077,0,0,1
1078,0,1,0
1079,0,0,1
1080,0,1,0
1081,1,0,0
1082,1,0,0
1083,0,1,0
1084,0,0,1
1085,1,0,0
1086,0,1,0
1087,0,0,1
1088,0,0,1
1089,0,1,0
1090,0,1,0
1091,1,0,0
1092,0,1,0
1093,1,0,0
1094,0,0,1
1095,0,1,0
1096,1,0,0
1097,0,1,0
1098,0,0,1
1099,0,0,1
1100,0,1,0
1101,1,0,0
1102,0,1,0
1103,0,1,0
1104,0,0,1
1105,1,0,0
1106,0,1,0
1107,1,0,0
1108,1,0,0
1109,0,0,1
1110,0,0,1
1111,1,0,0
1112,0,1,0
1113,1,0,0
1114,0,1,0
1115,0,1,0
1116,0,0,1
1117,0,1,0
1118,0,1,0
1119,0,0,1
1120,0,1,0
1121,1,0,0
1122,1,0,0
1123,0,0,1
1124,0,1,0
1125,1,0,0
1126,0,0,1
1127,1,0,0
1128,1,0,0
1129,1,0,0
1130,0,1,0
1131,0,1,0
1132,0,1,0
1133,0,1,0
1134,0,0,1
1135,0,1,0
1136,0,1,0
1137,0,1,0
1138,1,0,0
1139,0,0,1
1140,1,0,0
1141,0,1,0
1142,0,1,0
1143,1,0,0
1144,0,1,0
1145,1,0,0
1146,0,1,0
1147,0,1,0
1148,0,0,1
1149,0,1,0
1150,1,0,0
1151,1,0,0
1152,0,0,1
1153,0,0,1
1154,0,0,1
1155,0,0,1
1156,0,1,0
1157,0,1,0
1158,1,0,0
1159,1,0,0
1160,1,0,0
1161,0,1,0
1162,1,0,0
1163,1,0,0
1164,0,0,1
1165,0,0,1
1166,0,0,1
1167,0,0,1
1168,0,0,1
1169,0,0,1
1170,0,0,1
1171,1,0,0
1172,1,0,0
1173,0,1,0
1174,0,1,0
1175,0,1,0
1176,0,1,0
1177,1,0,0
1178,0,1,0
1179,0,1,0
1180,1,0,0
1181,0,0,1
1182,0,1,0
1183,0,0,1
1184,0,1,0
1185,0,1,0
1186,1,0,0
1187,1,0,0
1188,0,0,1
1189,0,1,0
1190,0,1,0
1191,1,0,0
1192,0,0,1
1193,0,0,1
1194,0,0,1
1195,1,0,0
1196,0,1,0
1197,0,0,1
1198,1,0,0
1199,1,0,0
1200,1,0,0
1201,0,0,1
1202,0,0,1
1203,0,0,1
1204,0,1,0
1205,0,0,1
1206,0,1,0
1207,1,0,0
1208,0,1,0
1209,1,0,0
1210,1,0,0
1211,1,0,0
1212,1,0,0
1213,0,1,0
1214,0,0,1
1215,0,1,0
1216,1,0,0
1217,0,1,0
1218,0,0,1
1219,0,1,0
1220,1,0,0
1221,1,0,0
1222,0,0,1
1223,0,1,0
1224,1,0,0
1225,0,1,0
1226,0,1,0
1227,0,1,0
1228,0,1,0
1229,1,0,0
1230,0,1,0
1231,0,0,1
1232,0,0,1
1233,1,0,0
1234,0,1,0
1235,1,0,0
1236,1,0,0
1237,0,0,1
1238,0,1,0
1239,0,1,0
1240,0,0,1
1241,0,0,1
1242,0,1,0
1243,1,0,0
1244,1,0,0
1245,0,1,0
1246,0,1,0
1247,0,1,0
1248,0,1,0
1249,1,0,0
1250,1,0,0
1251,0,1,0
1252,0,1,0
1253,1,0,0
1254,0,0,1
1255,0,0,1
1256,0,1,0
1257,0,1,0
1258,0,1,0
1259,0,1,0
1260,1,0,0
1261,0,0,1
1262,0,0,1
1263,1,0,0
1264,0,0,1
1265,1,0,0
1266,0,1,0
1267,0,1,0
1268,0,0,1
1269,1,0,0
1270,0,0,1
1271,0,1,0
1272,0,1,0
1273,0,1,0
1274,1,0,0
1275,0,1,0
1276,0,1,0
1277,0,1,0
1278,0,1,0
1279,0,1,0
1280,0,0,1
1281,1,0,0
1282,0,0,1
1283,0,1,0
1284,1,0,0
1285,0,0,1
1286,0,1,0
1287,0,1,0
1288,0,0,1
1289,0,1,0
1290,0,0,1
1291,1,0,0
1292,1,0,0
1293,0,1,0
1294,0,0,1
1295,0,1,0
1296,0,1,0
1297,0,0,1
1298,0,1,0
1299,1,0,0
1300,1,0,0
1301,0,1,0
1302,1,0,0
1303,0,1,0
1304,0,0,1
1305,0,0,1
1306,0,1,0
1307,0,1,0
1308,1,0,0
1309,0,0,1
1310,0,1,0
1311,0,1,0
1312,1,0,0
1313,1,0,0
1314,0,1,0
1315,0,1,0
1316,1,0,0
1317,1,0,0
1318,0,0,1
1319,0,1,0
1320,0,1,0
1321,1,0,0
1322,1,0,0
1323,0,1,0
1324,1,0,0
1325,1,0,0
1326,1,0,0
1327,1,0,0
1328,1,0,0
1329,0,1,0
1330,1,0,0
1331,1,0,0
1332,0,0,1
1333,0,0,1
1334,0,1,0
1335,0,1,0
1336,1,0,0
1337,0,1,0
1338,1,0,0
1339,0,1,0
1340,0,0,1
1341,0,0,1
1342,0,0,1
1343,0,1,0
1344,0,0,1
1345,0,1,0
1346,0,1,0
1347,1,0,0
1348,0,1,0
1349,1,0,0
1350,1,0,0
1351,0,0,1
1352,1,0,0
1353,0,1,0
1354,0,0,1
1355,0,1,0
1356,0,1,0
1357,1,0,0
1358,0,0,1
1359,0,0,1
1360,0,1,0
1361,0,0,1
1362,1,0,0
1363,0,1,0
1364,1,0,0
1365,0,0,1
1366,1,0,0
1367,1,0,0
1368,0,0,1
1369,0,0,1
1370,1,0,0
1371,0,1,0
1372,0,1,0
1373,0,1,0
1374,0,0,1
1375,0,0,1
1376,0,1,0
1377,0,0,1
1378,1,0,0
1379,0,1,0
1380,0,1,0
1381,0,1,0
1382,0,1,0
1383,0,1,0
1384,1,0,0
1385,1,0,0
1386,0,1,0
1387,1,0,0
1388,0,0,1
1389,1,0,0
1390,0,1,0
1391,1,0,0
1392,0,1,0
1393,1,0,0
1394,1,0,0
1395,0,1,0
1396,1,0,0
1397,0,1,0
1398,0,0,1
1399,0,1,0
1400,1,0,0
1401,0,0,1
1402,0,1,0
1403,0,0,1
1404,0,0,1
1405,0,1,0
1406,0,0,1
1407,1,0,0
1408,0,0,1
1409,1,0,0
1410,1,0,0
1411,0,0,1
1412,0,0,1
1413,0,1,0
1414,1,0,0
1415,0,0,1
1416,0,1,0
1417,0,0,1
1418,0,0,1
1419,0,0,1
1420,0,1,0
1421,0,1,0
1422,0,1,0
1423,0,1,0
1424,0,0,1
1425,0,1,0
1426,0,0,1
1427,0,0,1
1428,0,0,1
1429,0,0,1
1430,0,0,1
1431,0,0,1
1432,0,1,0
1433,0,1,0
1434,0,0,1
1435,0,1,0
1436,1,0,0
1437,0,1,0
1438,0,0,1
1439,0,1,0
1440,1,0,0
1441,0,1,0
1442,1,0,0
1443,0,0,1
1444,0,1,0
1445,0,1,0
1446,1,0,0
1447,0,0,1
1448,0,0,1
1449,0,1,0
1450,0,1,0
1451,0,0,1
1452,1,0,0
1453,0,1,0
1454,0,1,0
1455,0,0,1
1456,0,1,0
1457,0,0,1
1458,0,0,1
1459,0,1,0
1460,1,0,0
1461,0,1,0
1462,0,0,1
1463,1,0,0
1464,1,0,0
1465,0,0,1
1466,0,0,1
1467,0,1,0
1468,0,0,1
1469,1,0,0
1470,1,0,0
1471,0,0,1
1472,0,0,1
1473,0,1,0
1474,1,0,0
1475,0,1,0
1476,0,1,0
1477,0,0,1
1478,0,0,1
1479,0,0,1
1480,1,0,0
1481,0,0,1
1482,0,1,0
1483,0,1,0
1484,0,1,0
1485,1,0,0
1486,1,0,0
1487,0,1,0
1488,1,0,0
1489,1,0,0
1490,0,0,1
1491,0,0,1
1492,0,0,1
1493,1,0,0
1494,1,0,0
1495,0,0,1
1496,0,1,0
1497,1,0,0
1498,1,0,0
1499,0,0,1
1500,0,0,1
1501,0,0,1
1502,0,1,0
1503,1,0,0
1504,0,0,1
1505,1,0,0
1506,0,0,1
1507,0,0,1
1508,1,0,0
1509,0,0,1
1510,1,0,0
1511,0,0,1
1512,0,1,0
1513,0,1,0
1514,1,0,0
1515,0,0,1
1516,1,0,0
1517,0,1,0
1518,0,0,1
1519,1,0,0
1520,1,0,0
1521,0,1,0
1522,1,0,0
1523,0,1,0
1524,1,0,0
1525,0,0,1
1526,0,0,1
1527,0,1,0
1528,0,0,1
1529,0,0,1
1530,0,1,0
1531,1,0,0
1532,1,0,0
1533,1,0,0
1534,0,0,1
1535,0,0,1
1536,0,1,0
1537,0,0,1
1538,1,0,0
1539,1,0,0
1540,0,1,0
1541,0,1,0
1542,0,1,0
1543,0,1,0
1544,0,1,0
1545,0,1,0
1546,0,1,0
1547,1,0,0
1548,1,0,0
1549,1,0,0
1550,0,1,0
1551,0,0,1
1552,1,0,0
1553,1,0,0
1554,0,1,0
1555,1,0,0
1556,1,0,0
1557,0,0,1
1558,1,0,0
1559,0,1,0
1560,0,0,1
1561,0,0,1
1562,0,0,1
1563,1,0,0
1564,1,0,0
1565,0,1,0
1566,1,0,0
1567,0,0,1
1568,1,0,0
1569,1,0,0
1570,1,0,0
1571,0,0,1
1572,1,0,0
1573,1,0,0
1574,0,1,0
1575,1,0,0
1576,1,0,0
1577,0,0,1
1578,1,0,0
1579,0,1,0
1580,0,1,0
1581,1,0,0
1582,0,1,0
1583,0,0,1
1584,0,1,0
1585,0,0,1
1586,0,1,0
1587,1,0,0
1588,0,1,0
1589,0,1,0
1590,0,0,1
1591,1,0,0
1592,0,0,1
1593,0,1,0
1594,1,0,0
1595,0,0,1
1596,0,1,0
1597,1,0,0
1598,0,1,0
1599,1,0,0
1600,0,0,1
1601,1,0,0
1602,0,0,1
1603,1,0,0
1604,1,0,0
1605,1,0,0
1606,0,1,0
1607,1,0,0
1608,1,0,0
1609,0,0,1
1610,0,0,1
1611,1,0,0
1612,0,0,1
1613,0,0,1
1614,0,0,1
1615,1,0,0
1616,0,1,0
1617,1,0,0
1618,0,0,1
1619,0,1,0
1620,0,0,1
1621,0,1,0
1622,0,1,0
1623,1,0,0
1624,1,0,0
1625,1,0,0
1626,0,1,0
1627,1,0,0
1628,0,0,1
1629,1,0,0
1630,0,0,1
1631,0,1,0
1632,0,1,0
1633,1,0,0
1634,0,1,0
1635,0,1,0
1636,0,0,1
1637,1,0,0
1638,1,0,0
1639,0,1,0
1640,1,0,0
1641,0,1,0
1642,0,0,1
1643,0,1,0
1644,0,0,1
1645,0,1,0
1646,0,1,0
1647,1,0,0
1648,0,1,0
1649,0,1,0
1650,0,1,0
1651,1,0,0
1652,0,1,0
1653,0,0,1
1654,0,0,1
1655,0,1,0
1656,0,0,1
1657,0,1,0
1658,0,0,1
1659,0,1,0
1660,0,1,0
1661,0,1,0
1662,0,1,0
1663,0,0,1
1664,0,1,0
