,label
813,0
814,0
815,1
816,1
817,1
818,0
819,1
820,1
821,0
822,1
823,1
824,1
825,1
826,1
827,0
828,1
829,1
830,1
831,1
832,1
833,0
834,1
835,0
836,1
837,0
838,1
839,1
840,0
841,1
842,1
843,0
844,1
845,1
846,1
847,1
848,0
849,1
850,1
851,1
852,1
853,1
854,0
855,1
856,1
857,1
858,1
859,0
860,0
861,1
862,1
863,1
864,1
865,0
866,0
867,1
868,0
869,0
870,0
871,1
872,0
873,0
874,0
875,0
876,0
877,1
878,0
879,1
880,0
881,1
882,1
883,0
884,0
885,0
886,1
887,1
888,0
889,1
890,0
891,1
892,1
893,0
894,0
895,1
896,1
897,1
898,1
899,1
900,1
901,0
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,0
912,1
913,0
914,1
915,0
916,1
917,0
918,1
919,1
920,1
921,0
922,1
923,1
924,0
925,1
926,0
927,0
928,1
929,0
930,0
931,1
932,1
933,1
934,1
935,1
936,1
937,0
938,1
939,0
940,1
941,1
942,1
943,0
944,0
945,1
946,1
947,0
948,1
949,1
950,0
951,1
952,1
953,1
954,1
955,1
956,1
957,0
958,0
959,1
960,1
961,1
962,1
963,0
964,0
965,0
966,1
967,0
968,0
969,1
970,0
971,0
972,0
973,1
974,1
975,0
976,1
977,1
978,1
979,0
980,1
981,1
982,1
983,0
984,1
985,1
986,0
987,1
988,1
989,1
990,0
991,0
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,1
1000,1
1001,0
1002,1
1003,0
1004,0
1005,1
1006,0
1007,0
1008,0
1009,1
1010,1
1011,1
1012,1
1013,1
1014,0
1015,1
1016,0
1017,1
1018,1
1019,0
1020,1
1021,1
1022,1
1023,1
1024,0
1025,1
1026,0
1027,1
1028,1
1029,1
1030,1
1031,0
1032,0
1033,0
1034,1
1035,0
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,0
1043,0
1044,1
1045,1
1046,0
1047,1
1048,0
1049,1
1050,1
1051,1
1052,1
1053,0
1054,1
1055,1
1056,0
1057,0
1058,1
1059,1
1060,1
1061,1
1062,0
1063,0
1064,1
1065,1
1066,1
1067,0
1068,1
1069,1
1070,0
1071,0
1072,0
1073,0
1074,1
1075,1
1076,1
1077,1
1078,0
1079,1
1080,0
1081,1
1082,1
1083,0
1084,1
1085,1
1086,0
1087,1
1088,1
1089,0
1090,0
1091,1
1092,0
1093,1
1094,1
1095,0
1096,1
1097,0
1098,1
1099,1
1100,0
1101,1
1102,0
1103,0
1104,1
1105,1
1106,0
1107,1
1108,1
1109,1
1110,1
1111,1
1112,0
1113,1
1114,0
1115,0
1116,1
1117,0
1118,0
1119,1
1120,0
1121,1
1122,1
1123,1
1124,0
1125,1
1126,1
1127,1
1128,1
1129,1
1130,0
1131,0
1132,0
1133,0
1134,1
1135,0
1136,0
1137,0
1138,1
1139,1
1140,1
1141,0
1142,0
1143,1
1144,0
1145,1
1146,0
1147,0
1148,1
1149,0
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,0
1157,0
1158,1
1159,1
1160,1
1161,0
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,1
1171,1
1172,1
1173,0
1174,0
1175,0
1176,0
1177,1
1178,0
1179,0
1180,1
1181,1
1182,0
1183,1
1184,0
1185,0
1186,1
1187,1
1188,1
1189,0
1190,0
1191,1
1192,1
1193,1
1194,1
1195,1
1196,0
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,0
1205,1
1206,0
1207,1
1208,0
1209,1
1210,1
1211,1
1212,1
1213,0
1214,1
1215,0
1216,1
1217,0
1218,1
1219,0
1220,1
1221,1
1222,1
1223,0
1224,1
1225,0
1226,0
1227,0
1228,0
1229,1
1230,0
1231,1
1232,1
1233,1
1234,0
1235,1
1236,1
1237,1
1238,0
1239,0
1240,1
1241,1
1242,0
1243,1
1244,1
1245,0
1246,0
1247,0
1248,0
1249,1
1250,1
1251,0
1252,0
1253,1
1254,1
1255,1
1256,0
1257,0
1258,0
1259,0
1260,1
1261,1
1262,1
1263,1
1264,1
1265,1
1266,0
1267,0
1268,1
1269,1
1270,1
1271,0
1272,0
1273,0
1274,1
1275,0
1276,0
1277,0
1278,0
1279,0
1280,1
1281,1
1282,1
1283,0
1284,1
1285,1
1286,0
1287,0
1288,1
1289,0
1290,1
1291,1
1292,1
1293,0
1294,1
1295,0
1296,0
1297,1
1298,0
1299,1
1300,1
1301,0
1302,1
1303,0
1304,1
1305,1
1306,0
1307,0
1308,1
1309,1
1310,0
1311,0
1312,1
1313,1
1314,0
1315,0
1316,1
1317,1
1318,1
1319,0
1320,0
1321,1
1322,1
1323,0
1324,1
1325,1
1326,1
1327,1
1328,1
1329,0
1330,1
1331,1
1332,1
1333,1
1334,0
1335,0
1336,1
1337,0
1338,1
1339,0
1340,1
1341,1
1342,1
1343,0
1344,1
1345,0
1346,0
1347,1
1348,0
1349,1
1350,1
1351,1
1352,1
1353,0
1354,1
1355,0
1356,0
1357,1
1358,1
1359,1
1360,0
1361,1
1362,1
1363,0
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,0
1372,0
1373,0
1374,1
1375,1
1376,0
1377,1
1378,1
1379,0
1380,0
1381,0
1382,0
1383,0
1384,1
1385,1
1386,0
1387,1
1388,1
1389,1
1390,0
1391,1
1392,0
1393,1
1394,1
1395,0
1396,1
1397,0
1398,1
1399,0
1400,1
1401,1
1402,0
1403,1
1404,1
1405,0
1406,1
1407,1
1408,1
1409,1
1410,1
1411,1
1412,1
1413,0
1414,1
1415,1
1416,0
1417,1
1418,1
1419,1
1420,0
1421,0
1422,0
1423,0
1424,1
1425,0
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,0
1433,0
1434,1
1435,0
1436,1
1437,0
1438,1
1439,0
1440,1
1441,0
1442,1
1443,1
1444,0
1445,0
1446,1
1447,1
1448,1
1449,0
1450,0
1451,1
1452,1
1453,0
1454,0
1455,1
1456,0
1457,1
1458,1
1459,0
1460,1
1461,0
1462,1
1463,1
1464,1
1465,1
1466,1
1467,0
1468,1
1469,1
1470,1
1471,1
1472,1
1473,0
1474,1
1475,0
1476,0
1477,1
1478,1
1479,1
1480,1
1481,1
1482,0
1483,0
1484,0
1485,1
1486,1
1487,0
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,0
1497,1
1498,1
1499,1
1500,1
1501,1
1502,0
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,1
1510,1
1511,1
1512,0
1513,0
1514,1
1515,1
1516,1
1517,0
1518,1
1519,1
1520,1
1521,0
1522,1
1523,0
1524,1
1525,1
1526,1
1527,0
1528,1
1529,1
1530,0
1531,1
1532,1
1533,1
1534,1
1535,1
1536,0
1537,1
1538,1
1539,1
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,1
1548,1
1549,1
1550,0
1551,1
1552,1
1553,1
1554,0
1555,1
1556,1
1557,1
1558,1
1559,0
1560,1
1561,1
1562,1
1563,1
1564,1
1565,0
1566,1
1567,1
1568,1
1569,1
1570,1
1571,1
1572,1
1573,1
1574,0
1575,1
1576,1
1577,1
1578,1
1579,0
1580,0
1581,1
1582,0
1583,1
1584,0
1585,1
1586,0
1587,1
1588,0
1589,0
1590,1
1591,1
1592,1
1593,0
1594,1
1595,1
1596,0
1597,1
1598,0
1599,1
1600,1
1601,1
1602,1
1603,1
1604,1
1605,1
1606,0
1607,1
1608,1
1609,1
1610,1
1611,1
1612,1
1613,1
1614,1
1615,1
1616,0
1617,1
1618,1
1619,0
1620,1
1621,0
1622,0
1623,1
1624,1
1625,1
1626,0
1627,1
1628,1
1629,1
1630,1
1631,0
1632,0
1633,1
1634,0
1635,0
1636,1
1637,1
1638,1
1639,0
1640,1
1641,0
1642,1
1643,0
1644,1
1645,0
1646,0
1647,1
1648,0
1649,0
1650,0
1651,1
1652,0
1653,1
1654,1
1655,0
1656,1
1657,0
1658,1
1659,0
1660,0
1661,0
1662,0
1663,1
1664,0
1665,1
1666,1
1667,0
1668,0
1669,1
1670,1
1671,0
1672,0
1673,0
1674,0
1675,0
1676,1
1677,0
1678,1
1679,0
1680,0
1681,1
1682,1
1683,0
1684,1
1685,1
1686,1
1687,0
1688,0
1689,0
1690,1
1691,1
1692,1
1693,1
1694,1
1695,1
1696,1
1697,0
1698,1
1699,1
1700,1
1701,1
1702,0
1703,0
1704,1
1705,1
1706,1
1707,1
1708,0
1709,0
1710,1
1711,1
1712,1
1713,0
1714,0
1715,1
1716,1
1717,1
1718,1
1719,0
1720,1
1721,0
1722,1
1723,1
1724,0
1725,1
1726,0
1727,1
1728,0
1729,1
1730,1
1731,1
1732,1
1733,1
1734,0
1735,1
1736,0
1737,0
1738,1
1739,0
1740,1
1741,1
1742,0
1743,0
1744,0
1745,1
1746,1
1747,1
1748,0
1749,0
1750,1
1751,1
1752,1
1753,1
1754,0
1755,0
1756,0
1757,0
1758,1
1759,1
1760,1
1761,0
1762,0
1763,1
1764,1
1765,1
1766,1
1767,0
1768,0
1769,1
1770,0
1771,0
1772,1
1773,0
1774,1
1775,0
1776,1
1777,0
1778,1
1779,1
1780,1
1781,0
1782,0
1783,1
1784,0
1785,1
1786,1
1787,1
1788,1
1789,1
1790,1
1791,0
1792,0
1793,0
1794,0
1795,1
1796,0
1797,0
1798,1
1799,0
1800,1
1801,0
1802,1
1803,0
1804,0
1805,0
1806,1
1807,0
1808,1
1809,0
1810,1
1811,1
1812,1
1813,1
1814,1
1815,0
1816,0
1817,0
1818,0
1819,0
1820,1
1821,1
1822,1
1823,1
1824,1
1825,0
1826,0
1827,1
1828,0
1829,0
1830,1
1831,1
1832,1
1833,0
1834,1
1835,1
1836,1
1837,1
1838,0
1839,1
1840,0
1841,0
1842,1
1843,0
1844,1
1845,1
1846,1
1847,0
1848,1
1849,0
1850,1
1851,1
1852,1
1853,1
1854,0
1855,1
1856,1
1857,0
1858,1
1859,1
1860,1
1861,0
1862,1
1863,0
1864,1
1865,1
1866,1
1867,0
1868,0
1869,0
1870,1
1871,0
1872,1
1873,1
1874,0
1875,1
1876,0
1877,1
1878,0
1879,1
1880,1
1881,1
1882,1
1883,0
1884,1
1885,0
1886,1
1887,1
1888,0
1889,0
1890,1
1891,0
1892,0
1893,0
1894,0
1895,0
1896,1
1897,1
1898,1
1899,1
1900,1
1901,0
1902,0
1903,0
1904,1
1905,0
1906,1
1907,1
1908,1
1909,0
1910,0
1911,0
1912,1
1913,0
1914,1
1915,0
1916,0
1917,0
1918,0
1919,0
1920,1
1921,0
1922,1
1923,0
1924,1
1925,0
1926,1
1927,0
1928,1
1929,1
1930,0
1931,1
1932,1
1933,1
1934,1
1935,0
1936,0
1937,1
1938,1
1939,1
1940,1
1941,1
1942,1
1943,1
1944,1
1945,0
1946,1
1947,1
1948,0
1949,1
1950,1
1951,1
1952,1
1953,0
1954,0
1955,1
1956,0
1957,1
1958,1
1959,0
1960,0
1961,1
1962,0
1963,1
1964,1
1965,0
1966,0
1967,1
1968,0
1969,0
1970,1
1971,1
1972,1
1973,0
1974,1
1975,0
1976,0
1977,0
1978,0
1979,1
1980,0
1981,0
1982,1
1983,0
1984,1
1985,1
1986,0
1987,1
1988,1
1989,1
1990,0
1991,1
1992,0
1993,1
1994,1
1995,1
1996,0
1997,1
1998,1
1999,1
2000,1
2001,1
2002,1
2003,0
2004,1
2005,1
2006,1
2007,1
2008,1
2009,0
2010,0
2011,0
2012,1
2013,0
2014,1
2015,1
2016,1
2017,1
2018,1
2019,1
2020,1
2021,0
2022,0
2023,0
2024,1
2025,1
2026,1
2027,1
2028,0
2029,1
2030,1
2031,1
2032,1
2033,0
2034,0
2035,1
2036,0
2037,0
2038,0
2039,0
2040,0
2041,1
2042,0
2043,0
2044,1
2045,1
2046,1
2047,1
2048,0
2049,1
2050,1
2051,1
2052,1
2053,1
2054,0
2055,1
2056,0
2057,1
2058,0
2059,0
2060,1
2061,1
2062,1
2063,1
2064,1
2065,1
2066,1
2067,1
2068,0
2069,0
2070,1
2071,1
2072,1
2073,1
2074,1
2075,0
2076,1
2077,0
2078,1
2079,1
2080,0
2081,0
2082,1
2083,1
2084,0
2085,1
2086,1
2087,0
2088,1
2089,0
2090,1
2091,1
2092,1
2093,0
2094,0
2095,1
2096,0
2097,1
2098,0
2099,0
2100,1
2101,1
2102,0
2103,0
2104,0
2105,1
2106,1
2107,1
2108,0
2109,0
2110,1
2111,1
2112,1
2113,0
2114,1
2115,1
2116,1
2117,1
2118,1
2119,0
2120,0
2121,0
2122,1
2123,1
2124,1
2125,0
2126,0
2127,1
2128,0
2129,0
2130,1
2131,1
2132,1
2133,1
2134,0
2135,1
2136,1
2137,1
2138,0
2139,1
2140,0
2141,0
2142,1
2143,0
2144,1
2145,1
2146,1
2147,1
2148,1
2149,1
2150,0
2151,0
2152,0
2153,1
2154,1
2155,0
2156,0
2157,1
2158,0
2159,1
2160,0
2161,1
2162,0
2163,1
2164,1
2165,1
2166,1
2167,0
2168,1
2169,1
2170,0
2171,1
2172,0
2173,0
2174,0
2175,1
2176,1
2177,1
2178,0
2179,1
2180,1
2181,1
2182,0
2183,1
2184,0
2185,1
2186,1
2187,0
2188,1
2189,1
2190,0
2191,1
2192,0
2193,0
2194,1
2195,1
2196,1
2197,0
2198,1
2199,0
2200,0
2201,1
2202,1
2203,1
2204,0
2205,0
2206,0
2207,0
2208,1
2209,1
2210,1
2211,0
2212,1
2213,0
2214,0
2215,0
2216,0
2217,1
2218,1
2219,0
2220,1
2221,1
2222,0
2223,0
2224,0
2225,1
2226,0
2227,0
2228,0
2229,1
2230,1
2231,0
2232,0
2233,1
2234,0
2235,1
2236,1
2237,0
2238,1
2239,1
2240,0
2241,1
2242,0
2243,0
2244,1
2245,1
2246,0
2247,0
2248,1
2249,1
2250,1
2251,0
2252,1
2253,1
2254,0
2255,1
2256,0
2257,1
2258,1
2259,0
2260,1
2261,0
2262,1
2263,0
2264,1
2265,0
2266,0
2267,1
2268,1
2269,1
2270,1
2271,1
2272,1
2273,0
2274,0
2275,0
2276,1
2277,1
2278,1
2279,1
2280,0
2281,0
2282,1
2283,0
2284,1
2285,1
2286,1
2287,0
2288,0
2289,1
2290,0
2291,1
2292,1
2293,1
2294,1
2295,1
2296,1
2297,0
2298,0
2299,1
2300,1
2301,0
2302,1
2303,0
2304,0
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,1
2312,0
2313,1
2314,1
2315,1
2316,1
2317,0
2318,0
2319,1
2320,1
2321,1
2322,0
2323,0
2324,0
2325,0
2326,1
2327,0
2328,1
2329,0
2330,0
2331,1
2332,1
2333,0
2334,1
2335,1
2336,1
2337,1
2338,0
2339,0
2340,1
2341,1
2342,0
2343,1
2344,1
2345,1
2346,1
2347,1
2348,1
2349,1
2350,0
2351,0
2352,1
2353,0
2354,0
2355,1
2356,1
2357,1
2358,0
2359,1
2360,1
2361,1
2362,1
2363,1
2364,1
2365,0
2366,1
2367,1
2368,1
2369,1
2370,1
2371,1
2372,1
2373,0
2374,1
2375,0
2376,1
2377,1
2378,1
2379,1
2380,1
2381,0
2382,1
2383,1
2384,1
2385,0
2386,1
2387,1
2388,0
2389,1
2390,1
2391,1
2392,1
2393,0
2394,0
2395,0
2396,1
2397,1
2398,0
2399,1
2400,0
2401,0
2402,1
2403,1
2404,0
2405,0
2406,1
2407,1
2408,1
2409,0
2410,0
2411,0
2412,1
2413,0
2414,1
2415,1
2416,0
2417,1
2418,1
2419,0
2420,0
2421,1
2422,0
2423,1
2424,1
2425,0
2426,1
2427,1
2428,1
2429,0
2430,1
2431,1
2432,0
2433,0
2434,1
2435,0
2436,0
2437,1
2438,0
2439,1
2440,1
2441,0
2442,1
2443,1
2444,0
2445,1
2446,1
2447,1
2448,0
2449,0
2450,1
2451,0
2452,1
2453,0
2454,0
2455,1
2456,1
2457,0
2458,0
2459,1
2460,0
2461,0
2462,0
2463,1
2464,1
2465,1
2466,0
2467,0
2468,1
2469,1
2470,0
2471,1
2472,0
2473,0
2474,0
2475,0
2476,1
2477,1
2478,1
2479,1
2480,0
2481,1
2482,0
2483,1
2484,1
2485,1
2486,1
2487,1
2488,1
2489,1
2490,0
2491,1
2492,0
2493,1
2494,1
2495,1
2496,1
2497,0
2498,1
2499,1
2500,1
2501,0
2502,0
2503,1
2504,0
2505,1
2506,0
2507,1
2508,1
2509,0
2510,1
2511,0
2512,0
2513,0
2514,0
2515,1
2516,0
2517,0
2518,1
2519,0
2520,0
2521,0
2522,0
2523,1
2524,1
2525,1
2526,0
2527,0
2528,0
2529,0
2530,0
2531,0
2532,0
2533,1
2534,1
2535,1
2536,1
2537,1
2538,1
2539,0
2540,1
2541,1
2542,1
2543,1
2544,1
2545,0
2546,0
2547,0
2548,0
2549,1
2550,0
2551,1
2552,0
2553,1
2554,1
2555,1
2556,0
2557,1
2558,0
2559,1
2560,1
2561,0
2562,0
2563,0
2564,1
2565,0
2566,1
2567,0
2568,1
2569,1
2570,1
2571,1
2572,0
2573,0
2574,1
2575,0
2576,1
2577,0
2578,0
2579,0
2580,1
2581,1
2582,1
2583,1
2584,1
2585,0
2586,0
2587,1
2588,1
2589,0
2590,0
2591,0
2592,0
2593,1
2594,1
2595,1
2596,1
2597,1
2598,1
2599,1
2600,1
2601,1
2602,1
2603,0
2604,0
2605,1
2606,0
2607,1
2608,1
2609,1
2610,1
2611,1
2612,1
2613,1
2614,1
2615,0
2616,0
2617,1
2618,1
2619,1
2620,1
2621,1
2622,1
2623,1
2624,1
2625,0
2626,0
2627,0
2628,1
2629,1
2630,0
2631,1
2632,1
2633,0
2634,1
2635,1
2636,1
2637,0
2638,1
2639,1
2640,0
2641,0
2642,1
2643,1
2644,0
2645,0
2646,1
2647,0
2648,1
2649,1
2650,0
2651,1
2652,1
2653,0
2654,1
2655,1
2656,1
2657,1
2658,0
2659,1
2660,1
2661,0
2662,0
2663,0
2664,1
2665,1
2666,1
2667,0
2668,1
2669,1
2670,1
2671,1
2672,1
2673,1
2674,1
2675,1
2676,0
2677,0
2678,0
2679,1
2680,0
2681,1
2682,1
2683,1
2684,0
2685,1
2686,1
2687,1
2688,1
2689,1
2690,1
2691,1
2692,1
2693,1
2694,0
2695,1
2696,0
2697,0
2698,1
2699,0
2700,0
2701,1
2702,0
2703,0
2704,1
2705,1
2706,1
2707,1
2708,1
2709,1
2710,0
2711,1
2712,0
2713,0
2714,0
2715,1
2716,0
2717,0
2718,0
2719,1
2720,1
2721,1
2722,1
2723,0
2724,0
2725,1
2726,1
2727,0
2728,0
2729,0
2730,1
2731,1
2732,1
2733,0
2734,1
2735,0
2736,1
2737,0
2738,0
2739,0
2740,1
2741,1
2742,1
2743,0
2744,1
2745,0
2746,1
2747,1
2748,0
2749,1
2750,1
2751,0
2752,0
2753,0
2754,0
2755,0
2756,1
2757,1
2758,1
2759,1
2760,1
2761,0
2762,0
2763,1
2764,1
2765,1
2766,1
2767,0
2768,1
2769,0
2770,1
2771,1
2772,1
2773,1
2774,0
2775,1
2776,1
2777,0
2778,1
2779,0
2780,0
2781,1
2782,1
2783,1
2784,1
2785,1
2786,1
2787,1
2788,0
2789,0
2790,1
2791,0
2792,1
2793,0
2794,1
2795,0
2796,1
2797,0
2798,1
2799,0
2800,0
2801,0
2802,1
2803,1
2804,1
2805,0
2806,1
2807,1
2808,0
2809,0
2810,0
2811,1
2812,1
2813,1
2814,1
2815,0
2816,1
2817,0
2818,1
2819,0
2820,1
2821,1
2822,1
2823,1
2824,1
2825,1
2826,1
2827,1
2828,1
2829,1
2830,0
2831,1
2832,1
2833,1
2834,1
2835,1
2836,1
2837,1
2838,1
2839,1
2840,1
2841,1
2842,0
2843,0
2844,0
2845,1
2846,1
2847,1
2848,0
2849,0
2850,1
2851,0
2852,0
2853,0
2854,1
2855,0
2856,1
2857,1
2858,0
2859,0
2860,1
2861,1
2862,0
2863,1
2864,0
2865,0
2866,1
2867,1
2868,0
2869,0
2870,0
2871,0
2872,0
2873,0
2874,0
2875,1
2876,1
2877,1
2878,0
2879,0
2880,0
2881,1
2882,1
2883,0
2884,1
2885,1
2886,0
2887,1
2888,0
2889,0
2890,1
2891,1
2892,0
2893,0
2894,1
2895,1
2896,0
2897,1
2898,1
2899,1
2900,1
2901,0
2902,1
2903,0
2904,1
2905,0
2906,1
2907,1
2908,1
2909,1
2910,1
2911,1
2912,0
2913,0
2914,0
2915,1
2916,1
2917,1
2918,1
2919,1
2920,1
2921,0
2922,0
2923,1
2924,1
2925,1
2926,1
2927,0
2928,1
2929,1
2930,1
2931,0
2932,1
2933,1
2934,1
2935,1
2936,0
2937,1
2938,0
2939,0
2940,1
2941,0
2942,0
2943,1
2944,0
2945,1
2946,1
2947,1
2948,1
2949,1
2950,1
2951,1
2952,1
2953,1
2954,0
2955,1
2956,1
2957,0
2958,0
2959,0
2960,0
2961,1
2962,0
2963,1
2964,0
2965,1
2966,1
2967,0
2968,1
2969,1
2970,1
2971,1
2972,1
2973,0
2974,1
2975,1
2976,0
2977,0
2978,1
2979,0
2980,1
2981,1
2982,0
2983,1
2984,1
2985,1
2986,1
2987,0
2988,1
2989,0
2990,1
2991,1
2992,1
2993,1
2994,1
2995,1
2996,1
2997,0
